Food Name,Food Code,Description,Group,Group (sub-class),Comments,Description Footnote,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Starch (g),Citric acid (g),Malic acid (g),Total Phytosterols (mg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),5-mehtyl folate (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Cholesterol (mg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg)
Peppermints,17-117,Several samples of 6 different brands,"Sugars, preserves and snacks ",SEC,As MSF 17-117,,400,0.5,97.9,97.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.08,0.5,0.7,102.7,393,0,0,102.7,1,0,0,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,3,0,0.2,0.04,0,22,0,0,0
Liquorice shapes,17-113,"9 samples, 4 brands","Sugars, preserves and snacks ",SEC,As MSF 17-113 with fatty acids from FA 17-445,,281,5.5,61.5,40,18.4,0,0,3.8,0,0,2.4,0.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0.88,5.5,1.4,65,278,20.2,0,41.5,5,0,5.4,27.7,3.4,0,0,1.9,0,0,0.39,33.7,0.42,4.7,0.06,27.7,0.34,0,0.37,37.5,0.47,0,0.48,31.7,0.39,0,0,2.9,0.04,0,0,0,0,0,0,0,0.1,0.08,1.5,0.6,0,0.56,0,9,0,0,0,190,1590,440,170,74,16.7,0.72,1,990,2.49,0,0
Fruit pastilles,17-108,6 samples of different brands; assorted flavours,"Sugars, preserves and snacks ",SEC,As MSF 17-108,,333,2.8,80.5,56.9,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.45,2.8,0,84.2,327,3.4,0,59.3,6.5,0,2.1,45.4,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,28,6,4,0.4,0.04,0,29,0.02,0,0
Liquorice allsorts,17-112,"7 samples, 4 brands","Sugars, preserves and snacks ",SEC,As MSF 17-112 with fatty acids from 17-446,,354,3.7,73,59.8,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0.59,3.7,5.2,76.7,349,9.4,0,62.4,5.9,0,2.5,51.1,2.9,0,0,2,0,0,3.6,3.1,0.15,0.4,0.02,13,0.65,0,1.2,3.2,16,0,0.2,72.6,3.61,0,0,11.2,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,57,600,170,76,44,7.3,0.34,0.5,0,1.14,0,0
Corn and starch snacks,17-126,"20 samples, 6 brands including Skips","Sugars, preserves and snacks ",SNC,As MSF 17-126 with fatty acids calculated from FA supplement 17-429 proportions,,500,38,50.9,4,46.9,0,0,47,0,0,31,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.61,3.8,31.2,55.8,505,51.6,0,4.2,0.5,0,0.2,3.5,0,0,0,3.5,0,0,13.93,12.26,3.71,0.41,12,42.34,12.79,0,13.02,12.16,3.68,0,3.88,46.09,13.93,0,0,0.71,0.21,0,0,145,0,0,0,0,0.27,0.1,1.2,0.4,0,0.11,0,35,0,0,0,1320,130,30,18,82,1.3,0.05,0.4,2060,0.13,3,0
Mixed cereal and potato flour snacks,17-128,"40 samples. Shaped and flavoured snacks based on maize, potato and wheat including cheese balls","Sugars, preserves and snacks ",SNB,As MSF 17-128. Fatty acid data for a single snack brand is available in 17-430,,443,7.1,51.6,1.4,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.14,7.1,23.1,56.7,449,55.3,0,1.4,0.2,0,0.2,1,0,0,0,2.3,0,0,5.5,0,0,0,0,0,0,0,5.7,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.13,2.6,1.2,0,0.12,0,24,0,0,0,1820,340,33,25,110,1.1,0.1,0.6,3820,0.29,0,0
Twiglets,17-150,"20 samples, savoury wholewheat sticks","Sugars, preserves and snacks ",SN,As MSF and FA supplements 17-150,,380,12.4,56.4,1,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0.48,0.19,2.56,0,0,0,3.2,1.98,11.3,11.7,62,383,60.9,0,1.1,0,0,0,1.1,0,0,0,10.3,0,0,4.9,0,0,0,0,35.89,4.01,0,4.4,16.11,1.8,0,1.8,44.14,4.94,0.02,0,0,0,0,0,0,0,0,2.47,0,0.37,0.48,7.8,2.3,0,0.38,0,78,1.54,15,0,1340,460,45,81,370,2.9,0.32,2,2520,1.61,0,0
Tortilla chips,17-497,"20 samples, 6 brands, maize chips","Sugars, preserves and snacks ",SN,"As MSF and FA Supplements 17-149 with selenium estimated from 'maize based snacks', SAC 'Analysis of foods for Selenium '1994 MAFF Project 2B006. Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,453,7.6,54.7,1.2,53.5,0,0,98.4,1.2,0,68,0,16.4,5.3,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0.06,0.15,1.97,0,0,0,0.9,1.22,7.6,22.6,60.1,459,58.9,0,1.2,0.1,0,0.1,1,0,0,0,6,0,0,4,31.8,6.87,0.6,0.13,32,6.91,0,10.6,29.2,6.31,0,6.7,18.4,3.98,0,0,20.4,4.41,0,0,455,76,0,1.94,0.18,0.17,0.09,1.8,0.8,2.6,0.31,0,19,0,0,0,860,220,150,89,240,1.6,0.09,1.2,1400,0.43,3,0
Potato rings,17-142,"18 samples, 3 brands; assorted flavours; Hula Hoop type","Sugars, preserves and snacks ",SN,As MSF and FA supplements 17-142,,516,3.9,53.2,0.5,52.7,0,0,15,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.62,3.9,32,58.5,523,58,0,0.5,0,0,0,0.4,0,0,0,2.6,0,0,13.9,12.6,3.85,0.5,0.15,41.2,12.6,0,12.7,12.5,3.82,0,4,45.5,13.92,0,0,0.8,0.24,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,3,1070,540,22,28,100,1,0.16,0.7,1650,0.21,1,0
Potato crisps,17-495,"20 samples, 8 brands; mixed plain and flavoured","Sugars, preserves and snacks ",SN,"As MSF and FA Supplement 17-133, with some inorganics and vitamin values from SNACMA 2000. Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,525,5.7,48.5,0.7,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,5.42,0.22,0.73,2.88,0,0,0,2.8,0.91,5.7,34.2,53.3,530,52.6,0,0.7,0.1,0,0,0.5,0,0,0,5.3,0,0,14,0,0,0,0,41.32,13.51,0,13.7,15.19,4.97,0,5,42.94,14.04,0,0,0,0,0,0,2,0,0,6,9.6,0.21,0.08,3.2,1.3,4.5,0.81,0,30,0.93,0,35,800,1040,29,57,110,1.4,0.15,0.6,1310,0.37,1,0
Corn snacks,17-125,"20 samples, 7 brands including Wotsits, Monster Munch and Nik-Naks","Sugars, preserves and snacks ",SN,"As MSF and FA supplements 17-125. Vitamin K1 from Bolton-Smith et al, Br.J. Nutr. 83, 2000",,513,7,49.6,4.4,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,0.11,0.54,4.09,0,0,0,3.3,1.12,7,31.9,54.3,519,49.7,0,4.6,0.3,0,0.1,0.7,3.5,0,0,1,0,0,11.8,16.77,5.11,2.33,0.71,41.91,12.78,0,12.9,18.97,5.79,0,5.8,38.63,11.78,0.02,0.01,0.49,0.15,0,0,460,0,0,5.8,15.5,0.19,0.16,0.9,0.7,0,0.13,0,49,0,0,0,1130,200,68,18,140,0.8,0.04,0.5,1840,0.13,3,0
Bombay mix,14-807,"20 samples; savoury mix of gram flour, assorted peas, lentils, nuts and seeds","Sugars, preserves and snacks ",SN,As FAN and FA supplements 14-807,,499,18.8,32,2.2,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,8.54,0,0,0,3.5,3.01,18.8,32.9,35.1,503,32.8,0,2.3,0.1,0,0.1,2.2,0,0,0,6.2,0,0,4,30.95,9.72,4.92,1.55,51.74,16.27,0,16.2,34.96,11,0,11.3,12.53,3.95,0.04,0.01,0.63,0.2,0,0,0,0,0,4.71,0,0.38,0.1,4.3,3.5,0,0.54,0,0,1.19,24,0,770,770,58,100,290,3.8,0.62,2.5,1410,1.4,0,0
"Potato crisps, low fat",17-496,20 samples of different brands; mixed plain and flavoured,"Sugars, preserves and snacks ",SN,"As MSF and FA Supplement 17-136 with selenium estimated from 'potato based snacks', SAC 'Analysis of foods for Selenium' 1994 MAFF Project 2B006",,451,6.6,57.8,1.4,56.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.36,0.09,0.06,0.62,0,0,0,1.1,1.06,6.6,21.5,63.5,458,62,0,1.5,0.2,0,0,0.8,0,0.5,0,5.9,0,0,9.3,11.66,2.4,0.56,0.12,42.05,8.64,0,8.7,12.18,2.5,0,2.5,45.43,9.34,0,0,0.35,0.07,0,0,2,0,0,3.47,0,0.19,0.14,5,1.6,6.6,0.46,0,48,0,0,14,730,1020,36,48,130,1.8,0.38,0.9,1200,0.37,1,0
"Jam, reduced sugar",17-075,"9 samples, 5 brands; assorted flavours","Sugars, preserves and snacks ",SC,As MSF 17-075,,129,0.5,31.6,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3,0.08,0.5,0.1,31.9,123,0,0,31.9,10.4,0,15,6.5,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,26,20,120,19,7,15,0.4,0.05,0,0,0.1,0,2
Chocolate nut spread,17-070,"8 samples, 5 brands","Sugars, preserves and snacks ",SC,As MSF 17-070 with fatty acids from FA 17-422,,552,6.2,57.6,56.6,0.7,0,0,30.4,0.3,0,21.8,0,4.5,1,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,6.2,33,60.5,549,0.8,0,59.7,0,0,0,56.7,0,3,0,0.8,0,0,9.34,16.7,5.27,0.4,0.13,52.9,16.69,0,16.82,16.7,5.27,0,5.4,29.6,9.34,0,0,0.8,0.25,2,0,0,0,0,0,0,0.03,0.1,0.5,1.5,0,0.1,0,0,0,0,0,50,390,130,65,180,2.2,0.48,1,60,1.1,0,0
"Jam, fruit with edible seeds",17-073,"10 samples, 5 flavours","Sugars, preserves and snacks ",SC,"As MSF 17-073, with Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",,273,0.6,67.7,67.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,0.1,0.6,0,69,261,0,0,69,27.4,0,14.9,18.7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,10,29,43,12,5,10,0.2,0.01,0.1,9,0.13,0,7
"Jam, stone fruit",17-074,"8 samples, 4 flavours","Sugars, preserves and snacks ",SC,As MSF 17-074,,274,0.4,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0.06,0.4,0,69.3,261,0,0,69.3,27.5,0,14.9,18.8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,67,10,3,6,0.2,0.02,0,4,0.02,0,7
Lemon curd,17-490,"10 jars, 4 brands","Sugars, preserves and snacks ",SC,As MSF 17-076 and FA Supplements 17-423,,286,0.6,59.9,39.6,20.3,0,0,0,0,12,6,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,0.09,0.6,4.9,62.7,282,22.3,0,40.4,16.5,0,7.6,12,4.3,0,0,0.2,0,0,1.52,20,0.94,3.3,0.15,37.3,1.75,0,2.02,22.8,1.07,0,1.15,32.5,1.52,0,0,7.5,0.35,21,10,0,10,0.1,0,0,0,0.02,0,0.1,0.1,0,0,0,0.1,1,0,65,11,9,2,15,0.5,0.3,1.3,150,0,0,0
"Treacle, black",17-068,3 samples,"Sugars, preserves and snacks ",SC,As MSF 17-068,,267,1.2,65.6,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,0.19,1.2,0,67.2,257,0,0,66.8,17.4,0,16.7,32.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1760,550,180,29,21.3,0.78,0.8,820,2.67,0,0
Honeycomb,17-051,"2 samples, honey and comb together","Sugars, preserves and snacks ",SC,As MSF 17-051,,300,0.6,74.4,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0.09,0.6,4.6,74.4,281,0,0,74.4,34.2,0,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,7,35,8,2,32,0.2,0.04,0,26,0,1,0
"Syrup, golden",17-065,3 samples of the same brand,"Sugars, preserves and snacks ",SC,As MSF 17-065,,311,0.3,77.4,77.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.05,0.3,0,79,298,0,0,79,23.1,0,23,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,58,16,3,1,0.4,0.06,0.1,42,0.01,0,0
"Sugar, Demerara",17-061,5 samples,"Sugars, preserves and snacks ",SC,As MSF 17-061,,400,0.5,99.5,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.5,0,104.5,394,0,0,104.5,0,0,0,104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,48,29,9,3,0.9,0.11,0.1,35,0,0,0
Honey,17-050,8 samples; assorted types,"Sugars, preserves and snacks ",SC,As MSF 17-050,,307,0.4,76.4,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0.06,0.4,0,76.4,288,0,0,76.4,34.6,0,41.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,11,51,5,2,17,0.4,0.05,0.9,18,0.3,1,0
"Red kidney beans, dried, boiled in unsalted water",13-110,"As raw, soaked and boiled",Vegetables,DB,As VHS 13-110,,102,8.4,16,1,13.2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1.35,8.4,0.5,17.4,103,14.5,0,1,0.1,0,0,0.8,0,0,0,6.7,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,4,1,0,0.2,0,0.17,0.05,0.6,1.3,0,0.12,0,42,0.22,0,1,2,420,37,45,130,2.5,0.23,1,1,0.5,6,0
"Lentils, red, split, dried, raw",13-091,LGC; as purchased,Vegetables,DB,As VHS 13-091,,312,23.4,51.4,2.3,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,3.8,23.8,1.3,56.3,318,50.8,0,2.4,0,0,0.2,2.2,0,0,0,4.9,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.5,0,0,0,0,0,0,0,0,60,10,0,0,0,0.5,0.2,2,3.2,0,0.6,0,35,1.36,0,0,36,710,51,83,320,7.6,0.58,3.1,64,0,6,0
"Red kidney beans, dried, raw",13-109,Whole beans. Analytical and literature sources,Vegetables,DB,As VHS 13-109,,263,22.1,40.4,2.4,34.5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,3.54,22.1,1.4,44.1,266,38,0,2.5,0.2,0,0.1,2.2,0,0,0,15.7,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0.8,0,0,0,0,0,0,0,0,11,2,0,0.52,0,0.65,0.19,2.1,3.5,0,0.4,0,130,0.78,0,4,18,1370,100,150,410,6.4,0.68,3,2,1.2,16,0
"Mung beans, whole, dried, boiled in unsalted water",13-097,"As raw, soaked and boiled",Vegetables,DB,As VHS 13-097,,90,7.6,14,0.5,12.8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,1.21,7.6,0.4,15.3,91,14.1,0,0.5,0.1,0,0.1,0.3,0,0,0,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,12,2,0,0,0,0.09,0.07,0.5,1.2,0,0.07,0,35,0.41,0,0,2,270,24,43,81,1.4,0.19,0.9,4,0.3,5,0
"Mung beans, whole, dried, raw",13-096,Literature sources,Vegetables,DB,As VHS 13-096,,274,23.8,42.3,1.4,37.2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.8,23.9,1.1,46.3,279,40.9,0,1.5,0.2,0,0.3,1,0,0,0,10,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,24,4,0,0,0,0.36,0.26,2.1,3.8,0,0.38,0,140,1.91,0,0,12,1250,89,150,360,6,0.47,2.7,12,0.8,16,0
"Runner beans, raw",13-112,IFR; ends and sides trimmed,Vegetables,DB,"As VHS 13-112 with Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,23,1.6,31,2.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,145,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2,0.26,1.6,0.4,3.2,22,0.4,0,2.8,0.9,0,1.3,0.6,0,0,0,2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,145,25,0,0.23,26,0.06,0.03,0,0.4,0,0.08,0,60,0.05,0.7,18,0,220,33,19,34,1.2,0.02,0.2,21,0.2,0,2
"Lentils, green and brown, whole, dried, boiled in salted water",13-090,"LGC; as raw. Boiled 10 minutes, simmered 25 minutes",Vegetables,DB,As VHS 13-090,,103,8.8,15.4,0.4,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,1.41,8.8,0.7,16.9,105,15.9,0,0.4,0,0,0,0.4,0,0,0,3.8,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.08,0.6,1.2,0,0.28,0,30,0,0,0,3,310,22,34,130,3.5,0.33,1.4,26,0.5,40,0
"Beansprouts, mung, stir-fried in blended oil",13-427,LGC. 6 samples; stir-fried 2 minutes.  And calcd. from raw,Vegetables,DB,"As MW5 50-697/VHS 13-054, with folate from LGC 'Individual folates in foodstuffs' 1996 and selenium  from SAC 'Analysis of foods for Selenium' 1994 (raw). Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,72,1.9,2.4,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,0,0,0,41,0,0,0,0,0,0,0,88.4,0.3,1.9,6.1,2.5,72,1.1,0,1.4,0.6,0,0.8,0,0,0,0,0.9,0,0,0.5,0,0,0,0,0,0,0,3,0,0,0,2.2,0,0,0,0,0,0,0,0,24,4,0,0,6.4,0.06,0.02,0.3,0.3,0.6,0.07,0,43,0.23,0,7,3,45,12,11,29,1,0.05,0.2,9,0.2,1,0
"Lentils, green and brown, whole, dried, raw",13-089,"LGC; 10 samples, 6 brands. Continental type",Vegetables,DB,As VHS 13-089,,292,24.4,44.6,1.1,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,3.9,24.3,1.9,48.8,297,44.5,0,1.2,0,0,0.1,1.1,0,0,0,8.9,0,0,0.2,0,0,0,0,0,0,0,0.3,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.27,2.2,3.3,0,0.93,0,110,0,0,0,12,940,71,110,350,11.1,1.02,3.9,87,1.4,105,0
"Lentils, red, split, dried, boiled in unsalted water",13-434,LGC.  As purchased; boiled 20 minutes,Vegetables,DB,"As MW5 50-713/VHS 13-092 with folate from LGC 'Individual folates in foodstuffs' 1996, Food Surveillance Information Sheet No.92",,98,7.6,16,0.8,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,28,0,0,0,0,0,0,0,72.1,1.22,7.6,0.4,17.5,100,16.2,0,0.8,0,0,0.1,0.7,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,20,3,0,0,0,0.11,0.04,0.4,1,1.4,0.11,0,33,0.31,0,0,12,220,16,26,100,2.4,0.19,1,20,0,2,0
Hummus,13-433,"LGC.  Chick pea spread; 10 samples, retail and homemade",Vegetables,DB,As VHS 13-088 and FA Supplements 13-863 with selenium from SAC 'Analysis of foods for Selenium' 1994 MAFF Project 2B006,,187,7.6,10.7,1.8,8.5,0,0,48.4,0,0,31.3,1.3,10.3,2.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.4,1.22,7.6,12.6,11.6,187,9.3,0,1.9,0,0,0.2,1.7,0,0,0,2.4,0,0,1.54,41.1,4.55,4.2,0.46,40.8,4.51,0,4.51,44.7,4.95,0,5.02,13.9,1.54,0,0,0.06,0.07,0,0,0,0,0,0,0,0.16,0.05,1.1,1,2.1,0,0,0,0,0,1,670,190,41,62,160,1.9,0.3,1.4,670,0.5,4,0
"Green beans/French beans, frozen, boiled in unsalted water",13-432,"LGC; 10 samples, 8 brands.  Boiled 3-8 minutes",Vegetables,DB,"As MW5 50-708/VHS 13-084 with selenium, folate and carotenoids from new LGC data. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,26,1.8,4.4,2.1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,494,0,760,0,0,0,50,0,0,0,0,0,0,0,90,0.28,1.7,0.1,4.7,25,2.6,0,2.1,0.7,0,1,0.4,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,87,0,0.12,7.8,0.05,0.09,0.4,0.4,0.8,0.06,0,48,0,0,7,8,160,56,17,33,0.6,0.05,0.2,21,0.2,0,0
"Green beans/French beans, raw",13-431,"IFR; pods and beans, ends trimmed",Vegetables,DB,"As MW550-707/VHS 13-181 with folate from LGC 'Individual folates in foodstuffs' 1996 and selenium from SAC 'Analysis of foods for Selenium' 1994. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,25,1.9,3.1,2.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,310,0,0,0,0,0,37,0,0,0,0,0,0,0,90.7,0.31,1.9,0.5,3.2,24,0.9,0,2.3,0.8,0,1.1,0.4,0,0,0,2.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,330,55,0,0.2,39,0.05,0.07,0.9,0.5,1.4,0.05,0,64,0.09,1,12,0,230,36,17,38,1.2,0.01,0.2,9,0,0,0
"Chick peas, whole, dried, boiled in unsalted water",13-430,As raw.  Soaked and boiled,Vegetables,DB,"As MW5 50-705/VHS 13-075 with folate from LGC 'Individual folates in foodstuffs' 1996, Food Surveillance Information Sheet No.92. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,119,8.4,16.6,1,15.1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,54,0,0,0,0,0,0,0,65.8,1.35,8.4,2.1,18.2,121,16.6,0,1,0,0,0.1,0.9,0,0,0,4.3,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,23,4,0,1.1,2.24,0.1,0.07,0.7,1.1,1.8,0.14,0,66,0.29,0,0,5,270,46,37,83,2.1,0.28,1.2,7,0.7,1,0
